identity,labels,catalog_source,description,direction,one_of_group,required,slot_id,slot_name,tool_id,artifact,wdl_type,dimension,dimension_value,variant,variant_alias_for,builder_param,wdl_target,cardinality
io_slot:gatk::output::filtered_vcf,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,过滤后体细胞 VCF,output,,false,gatk::output::filtered_vcf,filtered_vcf,gatk,filtered_vcf,File,,,,,,,
io_slot:gatk::output::filtered_vcf_index,IOSlot|io_slot,wdl-slot-reconciliation-2026-08-23,过滤后 VCF 索引,output,,false,gatk::output::filtered_vcf_index,filtered_vcf_index,gatk,vcf_index,File,,,,,,,
io_slot:gatk::output::sorted_dedup_bam,IOSlot|io_slot,sister-tool-csv,Sorted/Dedup BAM,output,,false,gatk::output::sorted_dedup_bam,sorted_dedup_bam,gatk,,File,,,,,,,
io_slot:gatk::output::unfiltered_vcf,IOSlot|io_slot,sister-tool-csv,Unfiltered VCF,output,,false,gatk::output::unfiltered_vcf,unfiltered_vcf,gatk,,File,,,,,,,
io_slot:gene_boxplot::input::clinical_table,IOSlot|io_slot,senior-0811-tool-csv,CLINICAL_DATA_EXCEL,input,,true,gene_boxplot::input::clinical_table,clinical_table,gene_boxplot,clinical_table,File,,,,,clinical_xls,gene_boxplot.clinical_xls,
io_slot:gene_boxplot::input::sample_metainfo,IOSlot|io_slot,senior-0811-tool-csv,METADATA_SAMPLEINFO,input,,true,gene_boxplot::input::sample_metainfo,sample_metainfo,gene_boxplot,sample_metainfo,File,,,,,meta_xlsx,gene_boxplot.meta_xlsx,
io_slot:gene_boxplot::input::tabular_bio_data,IOSlot|io_slot,senior-0811-tool-csv,TABULAR_BIO_DATA,input,,true,gene_boxplot::input::tabular_bio_data,tabular_bio_data,gene_boxplot,analysis_summary,File,,,,,expr,gene_boxplot.expr,
io_slot:gene_boxplot::output::quality_control_report,IOSlot|io_slot,senior-0811-tool-csv,QC_STATS_REPORT,output,,false,gene_boxplot::output::quality_control_report,quality_control_report,gene_boxplot,quality_control_report,File,,,,,,,
io_slot:gene_boxplot::output::tabular_bio_data,IOSlot|io_slot,senior-0811-tool-csv,TABULAR_BIO_DATA,output,,false,gene_boxplot::output::tabular_bio_data,tabular_bio_data,gene_boxplot,analysis_summary,File,,,,,,,
io_slot:gsea_pathway_enrichment::input::tabular_bio_data,IOSlot|io_slot,senior-0811-tool-csv,TABULAR_BIO_DATA,input,,true,gsea_pathway_enrichment::input::tabular_bio_data,tabular_bio_data,gsea_pathway_enrichment,analysis_summary,File,,,,,expression_matrix,GseaPathwayEnrichment.expression_matrix,
